sample,mean_abs,p95_abs,max_abs,l2
0,5.7038551569e-01,3.2842931747e+00,2.9562568665e+01,1.7002182007e+00
1,5.2736788988e-01,3.2405495644e+00,3.3071437836e+01,1.7031747103e+00
2,3.0871686339e-01,1.4436191320e+00,1.8780637741e+01,1.2984606028e+00
3,2.0915412903e-01,7.1971988678e-01,3.4504947662e+01,1.0225148201e+00
4,4.9479529262e-01,2.9395458698e+00,2.4034139633e+01,1.6747733355e+00
5,5.8535915613e-01,3.3517634869e+00,4.7011241913e+01,1.8481454849e+00
6,2.9738023877e-01,1.5908657312e+00,2.7147928238e+01,1.1762615442e+00
7,2.4325494468e-01,1.1291115284e+00,1.9523088455e+01,9.8202884197e-01
8,5.3156870604e-01,2.8752853870e+00,5.7808135986e+01,2.2112255096e+00
9,6.8259060383e-01,4.1901259422e+00,3.8872829437e+01,2.1058185101e+00
10,2.6720833778e-01,1.0264550447e+00,3.3014602661e+01,1.2153687477e+00
11,4.6024087071e-01,2.8511569500e+00,3.2951568604e+01,1.4540938139e+00
12,2.9206216335e-01,1.2730689049e+00,3.8731193542e+01,1.2882549763e+00
13,2.3641586304e-01,1.0774241686e+00,3.6559806824e+01,1.0375519991e+00
14,3.0318254232e-01,1.5659455061e+00,2.2783773422e+01,1.2238126993e+00
15,5.6882250309e-01,3.5232105255e+00,7.3754440308e+01,2.1778337955e+00
16,3.1613001227e-01,1.7253615856e+00,3.2530136108e+01,1.3112434149e+00
17,2.5028640032e-01,1.2067122459e+00,4.4906856537e+01,1.2016743422e+00
18,4.0833139420e-01,2.2503263950e+00,4.0536888123e+01,1.4555354118e+00
19,2.0565421879e-01,7.0313489437e-01,1.8550607681e+01,9.5007050037e-01
20,4.1092246771e-01,2.4451806545e+00,2.5034618378e+01,1.4641157389e+00
21,2.8571137786e-01,1.5329686403e+00,1.8514429092e+01,1.0965607166e+00
22,3.0299231410e-01,1.5231564045e+00,3.7217510223e+01,1.1928752661e+00
23,5.3068196774e-01,3.2474486828e+00,2.0489355087e+01,1.6172853708e+00
24,3.7642666698e-01,2.2730898857e+00,2.3422134399e+01,1.3528187275e+00
25,4.4623968005e-01,2.6798050404e+00,3.5481311798e+01,1.5827513933e+00
26,6.4581841230e-01,3.8609714508e+00,3.2437850952e+01,1.7480995655e+00
27,4.3760773540e-01,2.4193029404e+00,3.7604145050e+01,1.7636359930e+00
28,5.0395327806e-01,2.8773837090e+00,5.0297016144e+01,1.6690742970e+00
29,4.2999410629e-01,2.5742609501e+00,2.4388523102e+01,1.4110330343e+00
30,2.9560551047e-01,1.4669456482e+00,2.1149719238e+01,1.0842398405e+00
31,3.1303796172e-01,1.7682830095e+00,2.4169286728e+01,1.1962696314e+00
32,2.3800893128e-01,9.1445589066e-01,3.4351783752e+01,1.1132744551e+00
33,5.5574905872e-01,3.1861817837e+00,5.2047451019e+01,1.8016809225e+00
